aiifft01_lite	78999	[013]	2603304.707080	1	cpu/event=0xD0,umask=0x82/u	ffffffff8186d5d0	page_fault	([kernel.kallsyms])
aiifft01_lite	78999	[013]	2603304.707091	1	cpu/event=0xD0,umask=0x82/u	7fa7b15cfa4f	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707108	2	cpu/event=0xD0,umask=0x82/u	7fa7b15cfa48	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707113	4	cpu/event=0xD0,umask=0x82/u	7fa7b15cfa65	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707136	14	cpu/event=0xD0,umask=0x82/u	7fa7b15cfaab	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707151	20	cpu/event=0xD0,umask=0x82/u	7fa7b15cfd5b	_dl_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707176	34	cpu/event=0xD0,umask=0x82/u	7fa7b15e75b0	_dl_sysdep_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707191	47	cpu/event=0xD0,umask=0x82/u	7fa7b15e7850	_dl_sysdep_start	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707210	83	cpu/event=0xD0,umask=0x82/u	7fa7b15d02ab	dl_main	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707240	126	cpu/event=0xD0,umask=0x82/u	7fa7b15d06b4	dl_main	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707281	164	cpu/event=0xD0,umask=0x82/u	7fa7b15d0dee	dl_main	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707310	194	cpu/event=0xD0,umask=0x82/u	7fa7b15d6628	_dl_init_paths	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707379	254	cpu/event=0xD0,umask=0x82/u	7fa7b15e5fd6	_dl_cache_libcmp	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707475	269	cpu/event=0xD0,umask=0x82/u	7fa7b15d9a87	_dl_setup_hash	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707522	271	cpu/event=0xD0,umask=0x82/u	7fa7b15d9ed0	_dl_new_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707591	309	cpu/event=0xD0,umask=0x82/u	7fa7b15d9b6f	_dl_add_to_namespace_list	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707630	327	cpu/event=0xD0,umask=0x82/u	7fa7b15dc9eb	_dl_map_object_deps	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707658	389	cpu/event=0xD0,umask=0x82/u	7fa7b15e9ae8	strcmp	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707709	516	cpu/event=0xD0,umask=0x82/u	7fa7b15da633	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707737	579	cpu/event=0xD0,umask=0x82/u	7fa7b15da633	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707760	766	cpu/event=0xD0,umask=0x82/u	7fa7b15da636	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707785	1079	cpu/event=0xD0,umask=0x82/u	7fa7b15d8a20	_dl_lookup_symbol_x	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707819	1481	cpu/event=0xD0,umask=0x82/u	7fa7b15e9aca	strcmp	(/lib/x86_64-linux-gnu/ld-2.23.so)
aiifft01_lite	78999	[013]	2603304.707843	1854	cpu/event=0xD0,umask=0x82/u	7fa7b15da6a4	_dl_relocate_object	(/lib/x86_64-linux-gnu/ld-2.23.so)
